TYPE_EVENT,START_OFFSET_SECOND,END_OFFSET_SECOND
dx_aggancio,1.402,2.402
dx_sgancio,13.515,14.235
dx_aggancio,14.453,15.153
sx_sgancio,16.138,16.938
sx_aggancio,17.108,17.868
sx_sgancio,24.361,25.621
sx_aggancio,25.918,26.798
dx_sgancio,28.374,29.494
dx_aggancio,30.135,31.535
dx_sgancio,45.581,46.861
dx_aggancio,46.99,47.99
sx_sgancio,49.502,50.582
sx_aggancio,50.887,52.247
dx_sgancio,63.633,65.153
dx_aggancio,65.384,66.864
sx_sgancio,67.77,69.47
sx_aggancio,70.122,71.082
dx_sgancio,84.279,85.839
sx_sgancio,87.927,89.247
sx_aggancio,96.82,97.68
dx_aggancio,100.554,101.614
dx_sgancio,105.955,107.015
sx_sgancio,109.699,111.199
sx_aggancio,125.021,126.381
dx_aggancio,128.26,129.46
dx_sgancio,131.887,133.087
sx_sgancio,136.419,137.659
sx_aggancio,167.526,169.126
dx_aggancio,170.997,172.397
