Moschettone SX
t1: 56:34:88:66:fc:a2
Moschettone DX
t2: AB:67:88:FC:10:b6
Sternale
t3: AB:67:88:FC:10:b6

PAN;PT1;PT2;AxAN;AyAN;AzAN;AxTM1;AyTM1;AzTM1;AxTR1;AyTR1;AzTR1;AxTM2;AyTM2;AzTM2;AxTR2;AyTR2;AzTR2;GxAN;GyAN;GzAN;GxTM1;GyTM1;GzTM1;GxTR1;GyTR1;GzTR1;GxTM2;GyTM2;GzTM2;GxTR2;GyTR2;GzTR2;TIMESTAMP
98637.144;0.000;0.000;262.422;616.832;760.182;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;-1155.000;-875.000;-245.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1719308451636;
98637.144;98686.704;98658.658;263.581;617.808;761.402;-966.118;253.760;39.284;194.041;-980.270;-89.304;-981.002;210.694;6.161;196.847;-980.270;-18.300;-1295.000;-472.500;-315.000;280.000;-122.500;-262.500;17.500;770.000;52.500;857.500;122.500;175.000;-542.500;105.000;-402.500;1719308451691;
98637.082;98686.704;98658.658;263.581;617.808;761.402;-964.288;256.200;39.345;193.309;-979.111;-88.633;-980.941;208.376;4.758;197.762;-980.575;-18.849;-1295.000;-472.500;-315.000;262.500;-122.500;-262.500;0.000;752.500;70.000;892.500;70.000;157.500;-525.000;87.500;-385.000;1719308451698;
98637.082;98686.851;98658.658;263.520;617.991;762.561;-965.752;255.407;40.016;192.272;-979.843;-88.755;-980.270;211.853;2.562;197.091;-980.392;-18.056;-1312.500;-350.000;-332.500;245.000;-262.500;-297.500;-140.000;700.000;70.000;857.500;87.500;105.000;-560.000;52.500;-332.500;1719308451727;
98637.082;98686.851;98658.658;260.348;615.185;762.744;-965.935;254.492;40.138;192.760;-980.880;-88.877;-979.538;209.962;3.843;197.823;-980.941;-17.690;-1225.000;-262.500;-280.000;227.500;-280.000;-245.000;-227.500;717.500;35.000;875.000;87.500;140.000;-542.500;122.500;-402.500;1719308451751;
98637.082;98686.851;98658.658;260.348;615.185;762.744;-965.325;253.028;39.223;192.272;-981.002;-89.548;-979.050;209.230;2.928;197.701;-979.904;-17.507;-1225.000;-262.500;-280.000;175.000;-297.500;-280.000;-262.500;717.500;87.500;910.000;122.500;140.000;-542.500;87.500;-385.000;1719308451758;
98637.082;98686.851;98656.672;261.324;616.344;763.293;-964.593;254.431;39.711;193.675;-979.904;-88.511;-979.660;210.511;1.830;198.006;-979.782;-17.446;-1155.000;-227.500;-262.500;192.500;-385.000;-297.500;-227.500;700.000;140.000;910.000;122.500;122.500;-455.000;122.500;-367.500;1719308451766;
98636.903;98686.851;98656.672;261.324;614.819;761.402;-965.447;253.577;39.162;193.309;-978.928;-89.609;-979.416;211.243;2.928;197.396;-980.087;-17.385;-1085.000;-245.000;-315.000;192.500;-332.500;-245.000;-315.000;717.500;35.000;910.000;140.000;157.500;-455.000;122.500;-385.000;1719308451781;
98636.903;98687.063;98656.672;262.544;616.771;762.561;-964.654;255.041;37.698;194.651;-978.867;-88.206;-980.453;210.328;1.769;197.091;-981.124;-17.629;-962.500;-367.500;-280.000;175.000;-385.000;-332.500;-280.000;682.500;52.500;910.000;210.000;157.500;-385.000;157.500;-367.500;1719308451817;
98636.903;98687.063;98656.672;262.666;617.076;762.622;-965.264;253.333;38.979;193.187;-979.355;-88.450;-979.416;211.670;1.281;198.494;-980.392;-17.568;-997.500;-455.000;-280.000;210.000;-350.000;-280.000;-315.000;682.500;70.000;927.500;367.500;140.000;-262.500;192.500;-385.000;1719308451825;
98636.454;98687.063;98656.672;261.629;614.270;761.402;-966.545;254.126;37.820;193.187;-980.819;-88.572;-980.636;209.901;1.281;197.884;-980.331;-16.836;-1015.000;-560.000;-332.500;210.000;-262.500;-245.000;-210.000;735.000;52.500;962.500;385.000;157.500;-245.000;175.000;-420.000;1719308451861;
98636.454;98687.063;98655.277;261.324;613.721;762.317;-965.508;255.041;38.003;194.346;-979.721;-89.182;-978.867;209.901;3.294;196.969;-978.989;-17.385;-1015.000;-490.000;-332.500;210.000;-245.000;-297.500;-157.500;717.500;52.500;1015.000;455.000;157.500;-175.000;192.500;-367.500;1719308451870;
98636.454;98686.785;98655.277;260.714;613.294;760.853;-964.288;253.882;37.759;193.492;-979.111;-88.328;-980.270;210.755;5.368;197.152;-979.599;-17.446;-1015.000;-490.000;-245.000;227.500;-210.000;-262.500;-157.500;735.000;52.500;962.500;455.000;157.500;-157.500;192.500;-402.500;1719308451885;
98636.454;98686.785;98655.277;259.982;614.819;763.415;-965.142;251.625;39.528;192.882;-980.575;-88.511;-980.453;210.694;5.429;196.481;-980.514;-16.592;-997.500;-507.500;-157.500;245.000;-175.000;-315.000;-122.500;735.000;17.500;927.500;402.500;175.000;-262.500;175.000;-437.500;1719308451908;
98636.454;98686.785;98655.277;267.180;613.538;763.720;-965.996;253.272;39.406;192.577;-980.758;-88.938;-981.002;209.596;6.527;197.152;-979.599;-18.056;-945.000;-332.500;-35.000;262.500;-210.000;-315.000;-122.500;752.500;35.000;927.500;297.500;122.500;-315.000;175.000;-402.500;1719308451922;
98636.114;98686.785;98654.073;265.655;614.087;760.731;-965.264;255.102;39.833;192.455;-978.928;-89.365;-978.806;211.670;5.490;197.518;-980.209;-17.812;-910.000;-367.500;-87.500;245.000;-262.500;-297.500;-105.000;735.000;70.000;892.500;175.000;140.000;-420.000;122.500;-385.000;1719308451938;
98636.114;98686.785;98654.073;265.228;614.331;761.829;-965.142;253.638;40.260;192.943;-979.477;-88.694;-980.026;209.901;5.429;198.677;-978.867;-17.507;-927.500;-420.000;-140.000;210.000;-262.500;-245.000;-157.500;735.000;70.000;910.000;140.000;140.000;-507.500;105.000;-385.000;1719308451945;
98636.073;98686.730;98654.073;263.398;610.061;767.197;-965.874;254.492;40.321;192.516;-979.782;-88.938;-980.209;210.206;5.673;198.982;-980.148;-17.141;-525.000;-822.500;-332.500;157.500;-437.500;-245.000;-315.000;647.500;52.500;875.000;17.500;87.500;-630.000;70.000;-367.500;1719308452012;
98636.073;98686.730;98654.073;264.191;610.610;766.892;-966.118;252.784;39.284;192.577;-979.965;-88.572;-980.209;210.633;6.405;196.664;-980.148;-16.836;-472.500;-717.500;-192.500;122.500;-490.000;-332.500;-402.500;682.500;35.000;840.000;-35.000;105.000;-665.000;70.000;-315.000;1719308452020;
98636.073;98686.442;98654.073;265.960;611.464;765.367;-966.545;250.893;37.759;192.394;-980.697;-88.511;-980.148;211.121;4.697;198.860;-979.233;-17.873;-105.000;-612.500;52.500;157.500;-385.000;-262.500;-350.000;700.000;70.000;805.000;-140.000;105.000;-770.000;17.500;-385.000;1719308452056;
98636.073;98686.442;98652.971;266.204;614.819;762.561;-965.630;252.967;38.003;193.065;-980.026;-89.243;-979.782;210.389;5.368;198.982;-979.904;-17.385;-87.500;-595.000;-105.000;192.500;-385.000;-350.000;-350.000;682.500;105.000;787.500;-192.500;157.500;-805.000;0.000;-367.500;1719308452071;
98635.913;98686.442;98652.971;266.509;613.111;761.219;-964.349;255.224;38.125;193.492;-977.464;-88.145;-980.148;210.145;3.111;198.616;-980.819;-17.690;-122.500;-577.500;-315.000;175.000;-385.000;-315.000;-227.500;700.000;52.500;752.500;-297.500;87.500;-927.500;0.000;-297.500;1719308452095;
98635.913;98686.442;98652.971;267.119;613.233;762.012;-965.325;253.638;37.149;193.126;-979.111;-88.267;-980.087;211.060;3.416;197.030;-979.660;-17.507;-140.000;-525.000;-402.500;192.500;-332.500;-245.000;-245.000;717.500;17.500;770.000;-315.000;122.500;-927.500;-35.000;-315.000;1719308452102;
98635.913;98686.796;98652.971;267.912;611.708;761.707;-966.362;252.784;38.003;194.285;-980.087;-87.901;-980.331;208.803;1.403;197.091;-980.453;-16.043;-210.000;-507.500;-437.500;210.000;-245.000;-297.500;-175.000;752.500;70.000;770.000;-227.500;140.000;-892.500;0.000;-315.000;1719308452110;
98635.913;98686.796;98652.372;268.400;613.050;761.768;-965.081;254.736;38.247;192.638;-979.904;-87.474;-980.026;210.572;1.281;196.847;-978.745;-17.019;-227.500;-420.000;-455.000;280.000;-245.000;-315.000;-122.500;752.500;87.500;840.000;-122.500;157.500;-717.500;52.500;-385.000;1719308452125;
98635.913;98686.796;98652.372;266.509;614.087;762.134;-965.630;255.895;37.210;193.980;-980.148;-88.694;-980.209;210.145;2.135;197.091;-980.758;-16.714;-227.500;-297.500;-472.500;280.000;-192.500;-262.500;-17.500;770.000;70.000;910.000;-35.000;105.000;-647.500;52.500;-332.500;1719308452140;
98635.913;98686.796;98652.372;266.631;615.368;764.635;-965.081;253.760;37.393;193.065;-980.392;-88.572;-978.135;213.073;3.233;198.372;-978.623;-18.483;-210.000;-245.000;-490.000;227.500;-157.500;-245.000;-105.000;770.000;17.500;857.500;0.000;122.500;-612.500;87.500;-385.000;1719308452155;
98636.160;98686.796;98651.925;265.899;615.551;762.561;-965.020;253.089;38.735;192.760;-980.575;-88.877;-980.453;209.535;4.880;198.372;-979.477;-18.239;-122.500;105.000;-612.500;262.500;-140.000;-315.000;-35.000;770.000;87.500;822.500;52.500;122.500;-630.000;87.500;-367.500;1719308452185;
98636.160;98686.697;98651.925;264.557;616.649;762.805;-964.959;255.712;39.406;192.821;-979.294;-88.450;-980.148;212.341;4.636;198.311;-980.514;-17.934;-157.500;87.500;-700.000;280.000;-105.000;-245.000;17.500;752.500;70.000;840.000;0.000;87.500;-682.500;52.500;-297.500;1719308452191;
98636.160;98686.697;98651.925;265.289;616.405;762.073;-965.813;254.919;39.101;192.455;-980.270;-88.694;-979.721;213.500;4.270;197.518;-979.782;-18.300;-157.500;17.500;-787.500;262.500;-87.500;-245.000;-35.000;770.000;52.500;840.000;-35.000;122.500;-682.500;35.000;-332.500;1719308452200;
98636.160;98686.697;98651.925;264.130;613.965;761.158;-966.789;253.028;40.199;192.577;-981.002;-88.877;-980.209;210.755;4.087;198.250;-980.270;-17.690;-227.500;-52.500;-787.500;262.500;-122.500;-297.500;-70.000;752.500;0.000;805.000;-17.500;122.500;-682.500;17.500;-332.500;1719308452231;
98636.160;98686.697;98651.803;264.130;613.965;761.158;-965.203;254.797;39.955;192.699;-978.562;-88.938;-979.904;211.792;3.111;197.152;-979.111;-18.422;-227.500;-52.500;-787.500;227.500;-105.000;-297.500;-105.000;735.000;105.000;875.000;-35.000;157.500;-665.000;52.500;-367.500;1719308452238;
98635.881;98686.697;98651.803;264.008;612.684;762.866;-964.410;252.723;40.870;192.028;-979.050;-89.121;-979.416;209.901;3.599;198.433;-980.209;-16.958;-350.000;-105.000;-612.500;227.500;-175.000;-262.500;-105.000;735.000;17.500;875.000;0.000;122.500;-630.000;52.500;-420.000;1719308452252;
98635.881;98686.697;98651.803;266.936;613.477;763.354;-965.386;251.747;40.077;192.516;-980.392;-88.450;-979.050;209.962;2.684;198.067;-980.514;-17.568;-385.000;-175.000;-542.500;262.500;-227.500;-262.500;-140.000;735.000;52.500;840.000;52.500;122.500;-577.500;122.500;-350.000;1719308452268;
98635.881;98686.853;98651.803;267.851;615.551;765.245;-965.081;253.638;40.992;193.065;-980.636;-89.792;-979.721;210.755;1.464;198.311;-979.660;-17.141;-350.000;-105.000;-525.000;210.000;-297.500;-315.000;-192.500;735.000;70.000;910.000;122.500;87.500;-542.500;105.000;-385.000;1719308452282;
98635.881;98686.853;98651.803;265.838;612.257;763.354;-966.362;254.126;39.528;193.797;-978.867;-88.633;-980.270;210.633;2.379;198.311;-979.294;-17.934;-157.500;-157.500;-665.000;157.500;-402.500;-280.000;-262.500;700.000;17.500;892.500;157.500;140.000;-420.000;140.000;-385.000;1719308452326;
98635.772;98686.853;98650.962;265.289;613.050;763.598;-965.447;254.004;38.918;193.187;-979.782;-88.999;-978.806;211.121;3.660;198.738;-980.148;-17.202;-192.500;-122.500;-647.500;122.500;-385.000;-297.500;-262.500;682.500;70.000;927.500;245.000;105.000;-332.500;122.500;-350.000;1719308452336;
98635.772;98686.853;98650.962;265.411;612.135;761.829;-966.179;254.919;38.491;193.675;-978.867;-87.962;-979.904;210.450;4.758;197.579;-980.026;-18.117;-192.500;-52.500;-595.000;157.500;-367.500;-297.500;-280.000;682.500;122.500;927.500;262.500;122.500;-332.500;122.500;-420.000;1719308452342;
98635.772;98686.577;98650.962;264.374;612.196;763.903;-964.715;254.980;38.247;192.333;-978.928;-89.060;-979.843;210.389;5.612;198.128;-980.514;-18.361;-210.000;-35.000;-507.500;157.500;-350.000;-315.000;-245.000;735.000;70.000;962.500;280.000;140.000;-367.500;105.000;-402.500;1719308452388;
98635.772;98686.577;98650.962;263.581;611.708;764.330;-964.898;253.882;39.101;192.455;-979.477;-88.023;-980.087;209.962;5.185;197.396;-979.538;-17.507;-227.500;-87.500;-525.000;192.500;-332.500;-280.000;-262.500;700.000;52.500;892.500;210.000;87.500;-437.500;70.000;-367.500;1719308452395;
98635.951;98686.577;98650.808;263.764;612.501;764.574;-966.057;252.357;40.260;192.760;-980.758;-87.962;-980.941;208.925;6.161;197.396;-980.514;-17.446;-192.500;-35.000;-490.000;245.000;-350.000;-332.500;-262.500;717.500;17.500;857.500;140.000;192.500;-525.000;105.000;-385.000;1719308452410;
98635.951;98686.577;98650.808;264.313;612.074;763.964;-965.142;254.248;39.894;193.919;-979.843;-88.145;-980.636;208.254;6.649;196.725;-980.026;-18.056;-175.000;-17.500;-437.500;192.500;-332.500;-297.500;-245.000;717.500;70.000;892.500;52.500;175.000;-560.000;105.000;-350.000;1719308452425;
98635.951;98686.129;98650.808;266.265;614.087;764.391;-964.166;254.126;40.077;193.126;-979.477;-88.450;-979.965;208.803;5.124;196.176;-980.636;-17.446;-105.000;-52.500;-262.500;227.500;-332.500;-280.000;-262.500;700.000;52.500;857.500;-35.000;157.500;-682.500;52.500;-385.000;1719308452470;
98635.951;98686.129;98650.808;266.265;614.087;764.391;-965.447;254.431;39.528;193.614;-979.843;-88.145;-980.575;209.047;6.161;197.762;-981.124;-19.093;-105.000;-52.500;-262.500;192.500;-367.500;-297.500;-332.500;700.000;122.500;822.500;-52.500;105.000;-735.000;52.500;-332.500;1719308452476;
98635.951;98686.129;98650.650;265.960;615.063;762.988;-964.654;255.285;39.467;194.102;-979.111;-89.426;-979.355;211.853;5.246;197.091;-981.307;-17.507;-140.000;-17.500;-280.000;175.000;-367.500;-280.000;-297.500;700.000;105.000;805.000;-157.500;105.000;-752.500;35.000;-332.500;1719308452485;
98635.857;98685.978;98650.650;266.570;613.172;762.378;-966.484;252.662;39.467;194.102;-980.270;-88.023;-978.928;210.816;5.490;198.006;-980.514;-17.385;-210.000;0.000;-332.500;157.500;-402.500;-262.500;-402.500;682.500;52.500;822.500;-140.000;122.500;-840.000;0.000;-350.000;1719308452521;
98635.857;98685.978;98650.650;265.594;616.039;763.293;-966.240;255.163;39.833;193.004;-979.599;-88.816;-981.307;209.779;4.514;197.579;-980.636;-17.812;-227.500;17.500;-245.000;140.000;-437.500;-297.500;-367.500;682.500;87.500;787.500;-192.500;140.000;-840.000;0.000;-297.500;1719308452545;
98635.857;98685.978;98650.650;265.472;614.941;763.659;-965.691;254.004;39.101;192.882;-980.026;-89.304;-979.843;210.999;3.965;198.494;-979.416;-17.263;-245.000;35.000;-280.000;122.500;-507.500;-227.500;-402.500;630.000;35.000;787.500;-210.000;70.000;-822.500;-17.500;-280.000;1719308452551;
98635.649;98685.978;98650.650;266.021;612.745;764.513;-966.484;253.211;38.613;192.028;-979.294;-88.877;-978.928;211.304;4.026;199.165;-979.294;-16.775;-210.000;105.000;-367.500;140.000;-455.000;-245.000;-385.000;682.500;52.500;787.500;-192.500;105.000;-822.500;0.000;-350.000;1719308452581;
98635.649;98685.913;98650.709;264.618;612.684;764.147;-967.094;251.625;38.491;192.394;-979.294;-87.901;-979.294;209.596;3.477;197.274;-980.758;-17.019;-175.000;122.500;-385.000;175.000;-437.500;-280.000;-350.000;682.500;70.000;822.500;-122.500;105.000;-770.000;-17.500;-297.500;1719308452605;
98635.649;98685.913;98650.709;263.764;614.331;765.123;-965.691;255.346;39.650;193.004;-979.782;-88.938;-980.026;210.145;3.477;196.176;-979.416;-17.080;-227.500;-52.500;-350.000;175.000;-367.500;-315.000;-297.500;717.500;105.000;805.000;-122.500;157.500;-752.500;17.500;-332.500;1719308452626;
98635.649;98685.913;98650.709;266.143;613.050;765.550;-966.240;254.858;39.345;194.102;-979.660;-88.633;-980.575;210.938;2.562;197.335;-980.941;-17.141;-140.000;52.500;-367.500;140.000;-367.500;-297.500;-297.500;682.500;52.500;840.000;-17.500;122.500;-700.000;52.500;-350.000;1719308452634;
98635.744;98685.913;98650.709;268.583;611.952;761.280;-965.752;254.675;39.528;194.285;-979.172;-89.121;-979.294;211.243;2.318;197.396;-979.904;-18.361;-140.000;175.000;-262.500;192.500;-332.500;-245.000;-262.500;700.000;87.500;857.500;17.500;140.000;-612.500;87.500;-332.500;1719308452650;
