Moschettone SX
t1: 56:34:88:66:fc:a2
Moschettone DX
t2: AB:67:88:FC:10:b6
Sternale
t3: AB:67:88:FC:10:b6

PAN;PT1;PT2;AxAN;AyAN;AzAN;AxTM1;AyTM1;AzTM1;AxTR1;AyTR1;AzTR1;AxTM2;AyTM2;AzTM2;AxTR2;AyTR2;AzTR2;GxAN;GyAN;GzAN;GxTM1;GyTM1;GzTM1;GxTR1;GyTR1;GzTR1;GxTM2;GyTM2;GzTM2;GxTR2;GyTR2;GzTR2;TIMESTAMP
98669.086;0.000;0.000;344.223;-163.236;1076.162;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;33967.500;3500.000;-6230.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1719306511238;
98669.086;0.000;0.000;336.354;-90.524;1028.887;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;41737.500;6475.000;-4042.500;0.000;0.000;0.000;0.000;0.000;0.000;0.;1719306511265;
98669.086;0.000;0.000;337.635;-97.905;1044.503;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;46060.000;4445.000;-3360.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1719306511271;
98668.967;98736.154;0.000;287.859;-51.179;1019.432;351.848;93.574;-1469.185;-23.485;344.345;1082.140;0.000;0.000;0.000;0.000;0.000;0.000;58467.500;8172.500;892.500;14770.000;62177.500;13877.500;56875.000;15295.000;-14840.000;0.000;0.000;0.000;0.000;0.000;0.000;1719306511302;
98668.967;98736.154;98697.526;312.076;-13.542;1005.463;406.870;153.659;-1581.974;-24.827;448.045;1117.886;-961.360;279.624;-88.389;259.494;-939.461;28.426;63297.500;3990.000;1067.500;15155.000;98542.500;29662.500;94815.000;14017.500;-32865.000;19775.000;-16292.500;-51082.500;-14525.000;16537.500;53217.500;1719306511312;
98668.967;98736.154;98697.526;312.808;-2.684;1002.657;490.501;333.792;-1604.910;-25.559;583.038;1154.303;-1007.476;265.960;-97.600;249.368;-985.638;20.557;66517.500;2607.500;1452.500;18165.000;127750.000;45955.000;124530.000;16887.500;-50085.000;17710.000;-14892.500;-49892.500;-13265.000;14752.500;51747.500;1719306511321;
98668.514;98736.154;98695.936;319.457;184.159;867.847;545.401;435.723;-1563.491;-26.901;683.627;1146.312;-1020.164;221.613;-109.495;225.151;-998.753;67.710;80290.000;-3535.000;3062.500;22015.000;142135.000;58082.500;139300.000;20877.500;-62457.500;9502.500;-13877.500;-48650.000;-11847.500;4182.500;49770.000;1719306511410;
98668.514;98735.898;98695.936;284.077;156.221;924.272;541.741;463.051;-1471.991;-77.104;858.636;992.653;-1026.691;194.651;-100.589;221.796;-1010.770;57.035;84350.000;0.000;2030.000;30222.500;190487.500;105507.500;186917.500;31220.000;-112717.500;3325.000;-14052.500;-49017.500;-11812.500;892.500;49910.000;1719306511415;
98668.514;98735.898;98695.936;298.534;170.068;922.381;535.702;354.776;-1424.167;-81.252;978.196;961.848;-1064.572;183.244;-92.049;191.601;-1049.383;68.076;79240.000;2695.000;2152.500;18427.500;221795.000;137620.000;217490.000;20510.000;-148225.000;-3132.500;-14140.000;-49735.000;-11655.000;-5915.000;50365.000;1719306511425;
98668.514;98735.898;98695.936;298.534;170.068;922.381;553.026;255.163;-1358.958;-114.619;1078.602;872.727;-1050.542;177.998;-103.700;168.665;-1039.562;75.091;79240.000;2695.000;2152.500;8190.000;237772.500;152915.000;232820.000;10517.500;-165322.500;-5337.500;-14507.500;-49700.000;-11952.500;-8295.000;50330.000;1719306511431;
98668.514;98735.898;98695.936;337.696;204.655;875.411;525.515;81.984;-1232.200;-141.764;1225.978;741.028;-1035.109;166.896;-128.283;118.645;-1018.578;82.899;76947.500;3937.500;875.000;-15102.500;273280.000;180302.500;267102.500;-12827.500;-196612.500;-7647.500;-14875.000;-48177.500;-12407.500;-10920.000;48842.500;1719306511441;
98668.624;98735.898;98694.843;325.618;277.794;834.480;574.864;36.417;-1089.033;-136.091;1334.619;782.630;-1039.196;147.071;-127.917;113.460;-1025.349;91.805;72292.500;9642.500;1102.500;-27685.000;289117.500;191765.000;282082.500;-25480.000;-209895.000;-8155.000;-13947.500;-45185.000;-11655.000;-11287.500;45815.000;1719306511446;
98668.624;98735.792;98694.843;311.100;362.157;822.951;499.651;-363.743;-580.537;-199.287;1545.435;280.478;-1061.827;112.301;-135.298;112.911;-1047.126;73.017;65345.000;11147.500;-2695.000;-66657.500;356072.500;224962.500;333060.000;-54372.500;-242305.000;-7612.500;-13860.000;-44432.500;-11130.000;-11375.000;44835.000;1719306511461;
98668.624;98735.792;98694.843;238.083;400.709;867.115;606.706;-892.918;-133.895;-43.859;1597.712;418.216;-1078.724;91.012;-151.280;119.865;-1070.550;69.601;51922.500;15505.000;-7630.000;-110617.500;356930.000;216667.500;347340.000;-94570.000;-247712.500;-10972.500;-11987.500;-45237.500;-9782.500;-13860.000;45342.500;1719306511492;
98668.624;98735.792;98694.843;224.785;353.556;889.685;608.536;-1091.168;-5.063;14.335;1527.318;94.428;-1073.356;94.855;-161.772;110.593;-1049.688;55.693;53270.000;9537.500;-8890.000;-129377.500;353552.500;203420.000;340585.000;-132790.000;-224927.500;-12600.000;-10535.000;-45937.500;-6072.500;-17815.000;46042.500;1719306511506;
98668.624;98735.285;98694.843;207.156;307.562;872.971;671.061;-1408.124;229.726;70.699;1464.061;80.947;-1051.762;86.437;-164.700;114.253;-1040.355;66.307;57382.500;3762.500;-7997.500;-168297.500;344470.000;160037.500;336945.000;-153772.500;-204540.000;-17780.000;-6422.500;-46830.000;-3850.000;-20632.500;46217.500;1719306511522;
98668.609;98735.285;98694.280;292.190;287.981;868.945;674.477;-1543.361;336.415;179.706;1286.002;99.003;-1010.099;102.480;-222.223;50.752;-992.165;88.328;58345.000;10990.000;5582.500;-186357.500;335265.000;130900.000;320407.500;-194005.000;-147087.500;-35017.500;5897.500;-50172.500;9257.500;-37975.000;47915.000;1719306511561;
98668.609;98735.285;98694.280;290.299;343.003;865.285;657.031;-1719.407;495.869;307.196;1064.511;123.403;-980.026;160.064;-203.435;31.903;-960.811;99.857;54547.500;14262.500;8732.500;-242865.000;286055.000;-26600.000;284812.500;-244842.500;-26565.000;-37030.000;8925.000;-48352.500;12355.000;-39952.500;45815.000;1719306511581;
98668.609;98735.285;98694.280;290.299;343.003;865.285;628.239;-1662.311;513.315;354.898;1014.003;136.762;-948.245;225.639;-172.203;44.042;-928.603;103.639;54547.500;14262.500;8732.500;-251685.000;274330.000;-70210.000;263865.000;-267452.500;62282.500;-35437.500;13002.500;-38727.500;15960.000;-37975.000;36067.500;1719306511590;
98668.721;98733.873;98693.330;250.344;514.291;781.044;546.316;-99.247;574.193;124.562;1436.184;304.329;-951.722;191.052;-173.972;80.215;-939.461;87.840;44310.000;1750.000;-5215.000;-226135.000;190557.500;-335912.500;199220.000;-251667.500;309872.500;-32410.000;14840.000;-34072.500;17447.500;-34720.000;31342.500;1719306511686;
98668.721;98733.873;98693.330;274.439;526.186;782.142;639.402;154.818;641.842;27.023;1432.646;351.177;-913.353;163.053;-118.645;126.941;-908.473;108.824;43400.000;1540.000;-4427.500;-209037.500;171167.500;-326130.000;180390.000;-233012.500;303520.000;-24832.500;20090.000;-27737.500;22190.000;-26600.000;24867.500;1719306511695;
98668.721;98733.873;98693.330;265.716;515.023;798.368;689.483;260.836;680.943;-23.180;1405.074;375.333;-862.662;149.145;-81.740;121.695;-862.113;120.414;42140.000;3692.500;-3867.500;-200760.000;157867.500;-314825.000;166880.000;-223335.000;293842.500;-19180.000;17272.500;-23695.000;18865.000;-20667.500;21245.000;1719306511710;
